all,,
one,,
friendly,"friendlier more","friendliest most"
sudden,more,most
dependent,more,most
competitive,more,most
federal,,
radical,more,most
acceptable,more,most
keen,"keener more","keenest most"
sensitive,more,most
outside,more,most
flat,flatter,
emotional,more,most
false,falser,falsest
adequate,more,most
healthy,healthier,healthiest
global,more,most
rapid,"more rapider","most rapidest"
administrative,more,most
comprehensive,more,most
silent,"silenter more","silentest most"
maximum,,
weak,weaker,weakest
remarkable,more,most
fifth,,
secret,more,most
dear,dearer,dearest
mass,masser,massest
wet,wetter,
solid,more,most
tory,,
brilliant,more,most
electronic,,
absolute,"more absoluter","most absolutest"
visual,more,most
wooden,more,most
firm,firmer,firmest
electric,,
chemical,,
sad,"sadder more","saddest most"
supreme,"supremer more","supremest most"
literary,more,most
pure,"purer more","purest most"
rough,rougher,roughest
mere,more,most
genuine,more,most
extreme,"extremer more","extremest most"
pale,paler,palest
widespread,"widerspread more","widestspread most"
nineteenth,,
catholic,more,most
classical,more,most
favourite,,
socialist,more,most
numerous,more,most
sweet,sweeter,sweetest
distinct,more,most
confident,more,most
opposite,,
helpful,more,most
tough,tougher,toughest
stupid,"stupider more","stupidest most"
consistent,more,most
fast,faster,fastest
stable,more,
straight,straighter,straightest
awful,"awfuller more","awfullest most"
proud,"prouder more","proudest most"
strategic,more,most
outstanding,more,most
clinical,more,most
minimum,,
conscious,more,most
dominant,more,most
cool,cooller,coollest
constitutional,more,most
mad,madder,
theoretical,more,most
anxious,"more anxiouser","most anxiousest"
holy,holier,holiest
residential,more,most
fit,fitter,
live,,
impressive,more,most
nervous,more,most
accurate,more,
musical,more,most
extraordinary,more,most
honest,"honester more","honestest most"
precise,more,most
visible,more,most
slight,slighter,slightest
monetary,,
remote,"more remoter","most remotest"
pink,pinker,pinkest
plain,plainer,plainest
distant,more,most
unemployed,,
still,"stiller more","stillest most"
gentle,"gentler more","gentlest most"
psychological,,
junior,more,
smooth,smoother,smoothest
violent,"violenter more","violentest most"
structural,,
inevitable,,
round,"rounder more","roundest most"
sensible,more,most
welcome,more,most
